ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
216.244.66.ddh,2017-06-30,00:00:00,0.0,868780.0,0001209191-16-128449,xslF345X01/doc4.xml,200.0,16846.0,0.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000437,-index.htm,200.0,2905.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000040545-17-000033,-index.htm,200.0,2738.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000040545-17-000035,-index.htm,200.0,2874.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000449,-index.htm,200.0,2868.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000450,-index.htm,200.0,2867.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000451,-index.htm,200.0,2911.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0001231205-17-000059,-index.htm,200.0,2832.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000488,-index.htm,200.0,2927.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000489,-index.htm,200.0,2929.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000492,-index.htm,200.0,2957.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000493,-index.htm,200.0,2952.0,1.0,0.0,0.0,10.0,0.0,
35.161.75.beg,2017-06-30,00:00:00,0.0,875159.0,0001571049-17-006349,t1702029_8k.htm,200.0,31636.0,0.0,0.0,0.0,10.0,0.0,
35.161.75.beg,2017-06-30,00:00:00,0.0,875159.0,0001571049-17-006349,t1702029_ex4-1.htm,200.0,260317.0,0.0,0.0,0.0,10.0,0.0,
35.167.212.fha,2017-06-30,00:00:00,0.0,1388496.0,0001140361-07-015506,-index.htm,200.0,2823.0,1.0,0.0,0.0,10.0,0.0,
35.167.212.fha,2017-06-30,00:00:00,0.0,1412455.0,9999999997-07-042261,-index.htm,200.0,2686.0,1.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,814008.0,0000943763-97-000038,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,910659.0,0000930661-97-001022,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,910659.0,0000930661-97-001022,.txt,0.0,97625.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,910659.0,0000930661-97-001326,.txt,200.0,45805.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,814008.0,0000943763-97-000038,.txt,200.0,66697.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,814008.0,0000943763-97-000032,.txt,200.0,29175.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,910659.0,0000930661-97-001326,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
38.140.198.dgd,2017-06-30,00:00:00,0.0,1112920.0,0001185185-17-001473,-index.htm,200.0,7406.0,1.0,0.0,0.0,10.0,0.0,
38.140.198.dgd,2017-06-30,00:00:00,0.0,1517022.0,0001193125-17-218379,d404244d8k.htm,301.0,664.0,0.0,0.0,0.0,10.0,0.0,
